,20.0,45.0,65.0,75.0,85.0
std,0.4140127388535032,0.3375796178343949,0.1337579617834395,0.08280254777070063,0.03184713375796178
Amsterdam,0.4868564451522979,0.333757783993462,0.10601927380528425,0.05301017508565018,0.02035632196330567
Antwerp,0.4213477354989781,0.3392395515102035,0.11884363722771867,0.08426652295705607,0.03630255280604367
Athens,0.42569717453225514,0.3387702233921624,0.1195695733579762,0.08383124149999244,0.032131787217613846
Barcelona,0.426229594656743,0.3373890864903864,0.11860941989544699,0.08005075756616838,0.03772114139125518
Bari,0.39787076994490955,0.3517256008223096,0.12931985443395316,0.08648928367777668,0.03459449112105101
Basel,0.3999738614598594,0.3533861796450086,0.1258103319244641,0.08333491990107256,0.03749470706959532
Berlin,0.4374030307995313,0.3291524959827732,0.11953830116748532,0.0880561594096173,0.025850012640592984
Bilbao,0.36723025159913175,0.3623931139775897,0.13174339082475098,0.09444613483958329,0.044187108758944264
Bologna,0.3577462709470891,0.34849089662379634,0.13480922050702301,0.10824937015475643,0.05070424176733507
Bordeaux,0.37776452034928626,0.3516542970309674,0.13717470531464623,0.08845407004240653,0.04495240726269365
Brasov,0.4421310085169177,0.3546425081814087,0.11318937070186445,0.06983897983150159,0.020198132768307533
Bratislava,0.48201098167710826,0.3257425007903723,0.1170044434688221,0.05498380297810749,0.02025827108558979
Brussels,0.5260323663875065,0.2995131920794372,0.08722811242877211,0.05785379753714003,0.029372531567143992
Bucharest,0.484761926087727,0.326517833382822,0.1009785038675199,0.0649009938912685,0.022840742770662684
Budapest,0.4628399821340417,0.30048504509587276,0.13449226983865786,0.07350705626993269,0.02867564666149494
Charleroi,0.4153954893335001,0.3551023479467506,0.12253115941166637,0.07321421086725159,0.033756792440831365
Cluj-Napoca,0.4839387883788436,0.31125770152792837,0.11296671366123061,0.07232993188529598,0.019506864546701478
Cologne,0.46210017347654375,0.32509159807576377,0.10498111443300238,0.08228989037758831,0.025537223637101838
Copenhagen,0.4603177573957677,0.32360927265845013,0.12975707595535044,0.06296731555252189,0.023348578437909873
Debrecen,0.4449630587454876,0.33994179342273156,0.12272999422634338,0.07043380403856868,0.021931349566868933
Dublin,0.5447709842485206,0.29220218658344993,0.09220385473059721,0.052560933542804944,0.018262040894627313
Dusseldorf,0.4296089282265383,0.33319962954026355,0.11415102083810734,0.09197801770267948,0.031062403692411478
Edinburgh,0.5239653448407698,0.289671385991536,0.09834634991712539,0.06157171463672486,0.026445204613843892
Frankfurt am Main,0.4888083984936031,0.3178685364513479,0.0984893244834553,0.0691925368171734,0.025641203754420434
Gdansk,0.4493043593596162,0.31831620023652346,0.12856343356922662,0.07623685534828996,0.027579151486343784
Geneva,0.45646623732840946,0.3347428366777539,0.10819881663910924,0.0693155035717426,0.03127660578298474
Genoa,0.31149604389425517,0.3529363374636077,0.15199463840371988,0.12554170619170615,0.05803127404671107
Ghent,0.43408257380050935,0.33107278690079356,0.11615005501830532,0.08393497817050394,0.03475960610988788
Glasgow,0.42069988029767474,0.3541761875561671,0.12165769054737992,0.07578850541476208,0.027677736184016075
Graz,0.45892970694072294,0.32733936162908733,0.11279545144474225,0.07028563304663098,0.03064984693881663
