"","copernicus","epi"
"1","Alicante","Alicante/Alacant"
"2","Edinburgh","Edinburgh"
"3","Madrid","Madrid"
"4","Rotterdam","Rotterdam"
"5","Amsterdam","Amsterdam"
"6","Frankfurt am Main","Frankfurt Am Main"
"7","Malaga","Málaga"
"8","Sarajevo",""
"9","Antwerp","Antwerp"
"10","Gdansk","Gdansk"
"11","Marseille","Marseille"
"12","Sevilla","Seville"
"13","Athens","Athens"
"14","Geneva","Geneva"
"15","Milan","Milan"
"16","Skopje",""
"17","Barcelona","Barcelona"
"18","Genoa","Genoa"
"19","Miskolc","Miskolc"
"20","Sofia","Sofia"
"21","Bari","Bari"
"22","Ghent","Ghent"
"23","Montpellier","Montpellier"
"24","Split","Split"
"25","Basel","Basel"
"26","Glasgow","Glasgow"
"27","Munich","Munich"
"28","Stockholm","Stockholm"
"29","Belgrado",""
"30","Goteborg",""
"31","Murcia","Murcia"
"32","Strasbourg","Strasbourg"
"33","Berlin","Berlin"
"34","Graz","Graz"
"35","Nantes","Nantes"
"36","Szeged","Szeged"
"37","Bilbao","Bilbao"
"38","Gyor","Gyõr"
"39","Naples","Naples"
"40","Tallinn","Tallinn"
"41","Birmingham",""
"42","Hamburg","Hamburg"
"43","Newcastle",""
"44","Tartu",""
"45","Bologna","Bologna"
"46","Helsinki","Helsinki"
"47","Nice","Nice"
"48","Thessaloniki","Thessaloniki"
"49","Bordeaux","Bordeaux"
"50","Klaipeda","Klaipeda"
"51","Novi Sad",""
"52","Tirana",""
"53","Brasov","Brasov"
"54","Kosice","Košice"
"55","Oslo","Oslo"
"56","Toulouse","Toulouse"
"57","Bratislava","Bratislava"
"58","Krakow","Kraków"
"59","Padua",""
"60","Trieste","Trieste"
"61","Brussels","Brussels"
"62","Leeds","Leeds"
"63","Palermo","Palermo"
"64","Turin","Turin"
"65","Bucharest","Bucharest"
"66","Leipzig","Leipzig"
"67","Palma de Mallorca","Palma De Mallorca"
"68","Utrecht","Utrecht"
"69","Budapest","Budapest"
"70","Liege","Liège"
"71","Paris","Paris"
"72","Valencia","Valencia"
"73","Charleroi","Charleroi"
"74","Lille","Lille"
"75","Pecs","Pécs"
"76","Varna","Varna"
"77","Cluj-Napoca","Cluj-Napoca"
"78","Lisbon","Lisbon"
"79","Podgorica",""
"80","Vienna","Vienna"
"81","Cologne","Cologne"
"82","Ljubljana","Ljubljana"
"83","Porto","Porto"
"84","Vilnius","Vilnius"
"85","Copenhagen","Copenhagen"
"86","Lodz",""
"87","Prague","Prague"
"88","Warsaw","Warsaw"
"89","Debrecen","Debrecen"
"90","London","London"
"91","Reykjavik",""
"92","Wroclaw","Wroclaw"
"93","Dublin","Dublin"
"94","Luxembourg","Luxembourg"
"95","Riga","Riga"
"96","Zagreb","Zagreb"
"97","Dusseldorf","Düsseldorf"
"98","Lyon","Lyon"
"99","Rome","Rome"
"100","Zurich","Zurich"
